kms_driven,owner,age,power,brand,actual_price,predicted_price
23367.0,1,15.0,350.0,2.0,62000.0,78460.0
51000.0,1,15.0,100.0,6.0,15500.0,12822.65
38000.0,1,15.0,223.0,6.0,15000.0,19771.86333333333
48824.0,1,12.0,125.0,5.0,22000.0,18504.0
10000.0,1,3.0,500.0,2.0,140000.0,159730.0
20917.0,1,9.0,100.0,6.0,30000.0,30140.0
2200.0,1,4.0,350.0,2.0,135000.0,109605.0
10000.0,1,5.0,180.0,1.0,68000.0,56321.99
5000.0,2,4.0,200.0,7.0,95000.0,98433.55
24869.0,1,5.0,150.0,7.0,31000.0,46368.03333333334
12888.0,1,4.0,200.0,10.0,127600.0,156415.0
27000.0,1,6.0,350.0,2.0,108000.0,110790.0
22000.0,1,11.0,100.0,7.0,19000.0,17956.0
18742.0,1,6.0,150.0,4.0,45000.0,53545.0
6240.0,1,5.0,135.0,7.0,36000.0,42953.0
24530.0,1,9.0,125.0,7.0,20000.0,20117.0
12859.0,1,6.0,150.0,7.0,50000.0,58136.62
6500.0,1,3.0,250.0,5.0,180000.0,168988.99
29000.0,1,8.0,200.0,10.0,75000.0,91875.75
15671.0,1,5.0,150.0,5.0,70000.0,78363.3880952381
5000.0,1,4.0,350.0,2.0,160000.0,135076.86666666667
10000.0,1,3.0,150.0,4.0,122500.0,86258.15357142859
7500.0,2,4.0,900.0,3.0,640000.0,996190.0
36083.0,1,7.0,390.0,10.0,83000.0,126712.98333333332
11600.0,1,7.0,350.0,2.0,105000.0,86596.16666666669
20375.0,1,6.0,100.0,6.0,24000.0,33540.0
73031.0,1,11.0,100.0,6.0,18000.0,18681.0
14000.0,1,5.0,200.0,10.0,118000.0,129969.52666666667
15711.0,1,8.0,100.0,6.0,23000.0,25090.0
13193.0,1,5.0,390.0,10.0,110147.0,134385.0
900.0,1,2.0,180.0,1.0,88000.0,89445.0
190.0,1,1.0,1100.0,13.0,1350000.0,731147.8333333333
300000.0,2,19.0,150.0,6.0,15000.0,16142.9
18934.0,1,6.0,160.0,1.0,55000.0,47690.0
2017.0,1,4.0,100.0,6.0,45000.0,48961.89
26000.0,1,6.0,100.0,6.0,38000.0,28263.14
19000.0,1,6.0,350.0,2.0,99000.0,103190.0
18000.0,1,5.0,150.0,7.0,35000.0,44892.0
14830.0,1,4.0,150.0,8.0,60000.0,64680.00000000001
22500.0,1,5.0,150.0,5.0,75000.0,76808.0
22687.0,2,8.0,350.0,2.0,72000.0,83420.0
2845.0,1,3.0,310.0,1.0,185000.0,194767.0
7247.0,2,6.0,535.0,2.0,115000.0,133817.52
31275.0,1,12.0,135.0,7.0,11000.0,19024.0
31600.0,1,6.0,350.0,2.0,90000.0,89268.82142857142
83000.0,1,6.0,150.0,5.0,47000.0,40344.5
41292.0,1,6.0,200.0,7.0,82000.0,82813.2
10136.0,1,6.0,350.0,2.0,100000.0,97555.0
2350.0,1,2.0,300.0,11.0,118000.0,178800.0
37415.0,1,5.0,200.0,7.0,70500.0,69194.97
8000.0,1,3.0,300.0,11.0,175000.0,146746.0
21000.0,1,15.0,100.0,6.0,15000.0,19625.0
35244.0,3,9.0,150.0,6.0,25000.0,28745.56
15618.0,1,5.0,150.0,5.0,100000.0,78243.3880952381
20765.0,1,9.0,200.0,7.0,38000.0,46544.0
15228.0,1,2.0,160.0,1.0,86000.0,85134.0
28164.0,1,10.0,125.0,5.0,18787.0,24378.0
12431.0,1,5.0,150.0,7.0,53000.0,49546.0
21853.0,1,7.0,150.0,4.0,58000.0,66860.0
16445.0,1,3.0,125.0,6.0,45000.0,48830.0
44000.0,1,6.0,160.0,1.0,45000.0,46224.56
30000.0,1,9.0,500.0,2.0,110000.0,85073.0
4500.0,1,2.0,200.0,1.0,92000.0,109205.0
11277.0,1,3.0,500.0,2.0,175000.0,146320.0
12000.0,1,12.0,350.0,2.0,130000.0,71557.03
17989.0,1,11.0,100.0,6.0,18000.0,22303.0
3500.0,2,4.0,650.0,12.0,550000.0,450496.0
25400.0,1,5.0,150.0,7.0,46000.0,45548.03333333334
86000.0,1,7.0,125.0,6.0,25000.0,27408.3
19000.0,1,6.0,350.0,2.0,115000.0,103190.0
12118.0,1,4.0,650.0,12.0,459877.0,484296.33
7200.0,1,6.0,220.0,7.0,60600.0,55670.16666666666
16000.0,1,5.0,350.0,2.0,110000.0,113839.33333333334
